p,avg_nb_composantes,avg_nb_composantes_isolees
0,1000,1000
0.000833333,997,996
0.00166667,546,544
0.0025,203,202
0.00333333,80,79
0.00416667,33,32
0.005,14,13
0.00583333,6,5
0.00666667,3,2
0.0075,2,1
0.00833333,1,0
0.00916667,1,0
0.01,1,0
