p,avg_nb_composantes,avg_nb_composantes_isolees
0,10000,10000
0.0001,9971.7,9968.6
0.0002,3686.7,3685.5
0.0003,1165.6,1164.5
0.0004,398.1,397.1
0.0005,141.2,140.2
0.0006,50.7,49.7
0.0007,19.8,18.8
0.0008,7.3,6.3
0.0009,4,3
0.001,2.1,1.1
0.0011,1.4,0.4
