n,avg_nb_composantes,avg_nb_noise
10,0,9
20,0,19
30,0,27
40,1,32
50,3,33
60,4,35
70,5,32
80,6,31
90,7,27
100,8,24
110,7,20
120,7,18
130,7,15
140,6,12
150,5,10
160,4,8
170,3,7
180,3,6
190,2,5
200,2,4
210,1,3
220,1,3
230,1,2
240,1,2
250,1,1
260,1,1
270,1,1
280,1,1
290,1,0
300,1,0
310,1,0
320,1,0
330,1,0
340,1,0
350,1,0
360,1,0
370,1,0
380,1,0
390,1,0
400,1,0
