n,avg_nb_composantes,avg_nb_noise
10,0,10
20,0,20
30,0,30
40,0,39
50,0,49
60,0,59
70,0,69
80,0,77
90,0,84
100,1,89
110,1,93
120,2,93
130,3,94
140,3,90
150,4,87
160,5,84
170,6,74
180,6,68
190,6,63
200,7,56
210,6,49
220,6,43
230,5,38
240,5,33
250,4,27
260,3,22
270,3,19
280,2,17
290,2,14
300,2,13
310,1,10
320,1,9
330,1,6
340,1,6
350,1,4
360,1,4
370,1,4
380,1,3
390,1,3
400,1,3
